id,emoji,english,arabic
38,😒,Unamused Face,وجه غير مستمتع
39,🙄,Face With Rolling Eyes,وجه مع المتداول عيون
40,😬,Grimacing Face,مقطبا الوجه
41,🤥,Lying Face,الكذب الوجه
42,😌,Relieved Face,الوجه بالارتياح
43,😔,Pensive Face,وجه متأمل
44,😪,Sleepy Face,وجه نائم
45,🤤,Drooling Face,سيلان اللعاب الوجه
46,😴,Sleeping Face,النوم الوجه
47,😷,Face With Medical Mask,وجه وقناع الطبية
48,🤒,Face With Thermometer,وجه مع ميزان الحرارة
49,🤕,Face With Head-Bandage,وجه والرأس ضمادة
50,🤢,Nauseated Face,الوجه بالغثيان
51,🤮,Face Vomiting,وجه القيء
52,🤧,Sneezing Face,العطس الوجه
53,🥵,Hot Face,مواجهة ساخنة
54,🥶,Cold Face,الوجه البارد
55,🥴,Woozy Face,وجه مشوش الذهن
56,😵,Dizzy Face,الوجه بالدوار
57,🤯,Exploding Head,انفجار الرأس
58,🤠,Cowboy Hat Face,رعاة البقر القبعة الوجه
59,🥳,Partying Face,الحفلات الوجه
60,😎,Smiling Face With Sunglasses,الوجه المبتسم مع النظارات الشمسية
61,🤓,Nerd Face,الطالب الذي يذاكر كثيرا الوجه
62,🧐,Face With Monocle,وجه مع مونوكل
63,😕,Confused Face,الوجه الخلط
64,😟,Worried Face,الوجه قلق
65,🙁,Slightly Frowning Face,مقطب الوجه قليلا
66,☹,Frowning Face,مقطب الوجه
67,😮,Face With Open Mouth,وجه بفم مفتوح
68,😯,Hushed Face,الوجه المسكوت
69,😲,Astonished Face,الوجه دهش
70,😳,Flushed Face,وجه متوهج
71,🥺,Pleading Face,المرافعة الوجه
72,😦,Frowning Face With Open Mouth,مقطب الوجه والفم المفتوح
73,😧,Anguished Face,الوجه المؤلم
74,😨,Fearful Face,وجه مخيف
75,😰,Anxious Face With Sweat,الوجه حريصة مع العرق
76,😥,Sad but Relieved Face,وجه حزين ولكن بالارتياح
77,😢,Crying Face,البكاء الوجه
78,😭,Loudly Crying Face,البكاء بصوت عال الوجه
79,😱,Face Screaming in Fear,مواجهة صراخ في الخوف
80,😖,Confounded Face,وجه مرتبك
81,😣,Persevering Face,المثابرة الوجه
82,😞,Disappointed Face,الوجه بخيبة أمل
83,😓,Downcast Face With Sweat,الوجه مسبل مع العرق
84,😩,Weary Face,الوجه المتعب
85,😫,Tired Face,وجه متعب
86,😤,Face With Steam From Nose,الوجه مع البخار من الأنف
87,😡,Pouting Face,العبوس الوجه
88,😠,Angry Face,وجه غاضب
89,🤬,Face With Symbols on Mouth,وجه مع الرموز على الفم
90,😈,Smiling Face With Horns,الوجه المبتسم مع الأبواق
91,👿,Angry Face With Horns,وجه غاضب مع الأبواق
92,💀,Skull,جمجمة
93,☠,Skull and Crossbones,جمجمة وعظمتين متقاطعتين
94,💩,Pile of Poo,كومة من بو
95,🤡,Clown Face,وجه مهرج
96,👹,Ogre,غول
97,👺,Goblin,عفريت
98,👻,Ghost,شبح
99,👽,Alien,كائن فضائي
100,👾,Alien Monster,الغريبة الوحش
101,🤖,Robot Face,الروبوت الوجه
102,😺,Grinning Cat Face,مبتسما القط الوجه
103,😸,Grinning Cat Face With Smiling Eyes,مبتسما القط الوجه المبتسم مع عيون
104,😹,Cat Face With Tears of Joy,الوجه القط مع دموع الفرح
105,😻,Smiling Cat Face With Heart-Eyes,الوجه المبتسم القط مع قلب عيون
106,😼,Cat Face With Wry Smile,الوجه القط مع ابتسامة ساخرة
107,😽,Kissing Cat Face,تقبيل القط الوجه
108,🙀,Weary Cat Face,بالضجر وجه القط
109,😿,Crying Cat Face,بكاء القط الوجه
110,😾,Pouting Cat Face,العبوس القط الوجه
111,💋,Kiss Mark,علامة قبلة
112,👋,Waving Hand,التلويح باليد
113,🤚,Raised Back of Hand,رفع الجزء الخلفي من اليد
114,🖐,Hand With Fingers Splayed,اليد مع الأصابع مفلطحة
115,✋,Raised Hand,اليد التي أثيرت
116,🖖,Vulcan Salute,فولكان تحية
117,👌,OK Hand,موافق اليد
118,✌,Victory Hand,فوز اليد
119,🤞,Crossed Fingers,تمنيت
120,🤟,Love-You Gesture,الحب وأنت لفتة
121,🤘,Sign of the Horns,علامة من الأبواق
122,🤙,Call Me Hand,اتصل بي اليد
123,👈,Backhand Index Pointing Left,مؤشر خلفية مشيرا اليسار
124,👉,Backhand Index Pointing Right,مؤشر خلفية مشيرا اليمين
125,👆,Backhand Index Pointing Up,مؤشر خلفية إلى الارتفاع
126,🖕,Middle Finger,الاصبع الوسطى
127,👇,Backhand Index Pointing Down,مؤشر خلفية مشيرا إلى أسفل
128,☝,Index Pointing Up,مؤشر إلى الارتفاع
129,👍,Thumbs Up,ممتاز
130,👎,Thumbs Down,استهجن
131,✊,Raised Fist,رفع قبضة
132,👊,Oncoming Fist,القبضة قدوم
133,🤛,Left-Facing Fist,اليسار مواجهة القبضة
134,🤜,Right-Facing Fist,بزر الماوس الأيمن مواجهة القبضة
135,👏,Clapping Hands,التصفيق
136,🙌,Raising Hands,رفع الأيدي
137,👐,Open Hands,الأيدي المفتوحة
138,🤲,Palms Up Together,النخيل معا
139,🤝,Handshake,مصافحة
140,🙏,Folded Hands,الأيدي مطوية
141,✍,Writing Hand,كتابة اليد
142,💅,Nail Polish,طلاء الأظافر
143,🤳,Selfie,صورة شخصية
144,💪,Flexed Biceps,استعرضوا العضلة ذات الرأسين
145,🦵,Leg,رجل
146,🦶,Foot,قدم
147,👂,Ear,إذن
148,👃,Nose,أنف
149,🧠,Brain,دماغ
150,🦷,Tooth,سن
151,🦴,Bone,عظم
152,👀,Eyes,عيون
153,👁,Eye,عين
154,👅,Tongue,لسان
155,👄,Mouth,فم
156,👶,Baby,طفل
157,🧒,Child,طفل
158,👦,Boy,صبي
159,👧,Girl,فتاة
160,🧑,Person,شخص
161,👱,Person: Blond Hair,الشخص: أشقر الشعر
162,👨,Man,رجل
163,🧔,Man: Beard,الرجل: لحية
164,👱‍♂️,Man: Blond Hair,الرجل: أشقر الشعر
165,👨‍🦰,Man: Red Hair,الرجل: الشعر الأحمر
166,👨‍🦱,Man: Curly Hair,الرجل: الشعر مجعد
167,👨‍🦳,Man: White Hair,الرجل: أبيض الشعر
168,👨‍🦲,Man: Bald,الرجل: أصلع
169,👩,Woman,النساء
170,👱‍♀️,Woman: Blond Hair,امرأة: أشقر الشعر
171,👩‍🦰,Woman: Red Hair,المرأة: الشعر الأحمر
172,👩‍🦱,Woman: Curly Hair,المرأة: الشعر مجعد
173,👩‍🦳,Woman: White Hair,المرأة: الشعر الأبيض
174,👩‍🦲,Woman: Bald,امرأة: اصلع
175,🧓,Older Person,كبار السن
176,👴,Old Man,عجوز
177,👵,Old Woman,امرأة كبيرة بالسن
178,🙍,Person Frowning,الشخص مقطب
179,🙍‍♂️,Man Frowning,رجل مقطب
180,🙍‍♀️,Woman Frowning,امرأة مقطب
181,🙎,Person Pouting,الشخص العبوس
182,🙎‍♂️,Man Pouting,الرجل العبوس
183,🙎‍♀️,Woman Pouting,امرأة العبوس
184,🙅,Person Gesturing No,شخص مشيرا بيديه لا
185,🙅‍♂️,Man Gesturing No,رجل ومشيرا بيديه لا
186,🙅‍♀️,Woman Gesturing No,امرأة مشيرا بيديه لا
187,🙆,Person Gesturing OK,شخص مشيرا بيديه OK
188,🙆‍♂️,Man Gesturing OK,رجل ومشيرا بيديه OK
189,🙆‍♀️,Woman Gesturing OK,امرأة مشيرا بيديه OK
190,💁,Person Tipping Hand,شخص البقشيش اليد
191,💁‍♂️,Man Tipping Hand,رجل البقشيش اليد
192,💁‍♀️,Woman Tipping Hand,امرأة البقشيش اليد
193,🙋,Person Raising Hand,شخص رفع اليد
194,🙋‍♂️,Man Raising Hand,رجل رفع اليد
195,🙋‍♀️,Woman Raising Hand,امرأة رفع اليد
196,🙇,Person Bowing,شخص إنحناء
197,🙇‍♂️,Man Bowing,رجل إنحناء
198,🙇‍♀️,Woman Bowing,امرأة إنحناء
199,🤦,Person Facepalming,شخص Facepalming
200,🤦‍♂️,Man Facepalming,رجل Facepalming
201,🤦‍♀️,Woman Facepalming,امرأة Facepalming
202,🤷,Person Shrugging,شخص الإستهجان
203,🤷‍♂️,Man Shrugging,رجل الإستهجان
204,🤷‍♀️,Woman Shrugging,امرأة الإستهجان
205,👨‍⚕️,Man Health Worker,رجل العاملين الصحيين
206,👩‍⚕️,Woman Health Worker,امرأة العاملين الصحيين
207,👨‍🎓,Man Student,رجل الطلاب
208,👩‍🎓,Woman Student,امرأة الطلاب
209,👨‍🏫,Man Teacher,الرجل المعلم
210,👩‍🏫,Woman Teacher,معلمة
211,👨‍⚖️,Man Judge,رجل القاضي
212,👩‍⚖️,Woman Judge,امرأة القاضي
213,👨‍🌾,Man Farmer,رجل المزارعين
214,👩‍🌾,Woman Farmer,امرأة المزارعين
215,👨‍🍳,Man Cook,رجل كوك
216,👩‍🍳,Woman Cook,امرأة كوك
217,👨‍🔧,Man Mechanic,رجل ميكانيكي
218,👩‍🔧,Woman Mechanic,امرأة ميكانيكي
219,👨‍🏭,Man Factory Worker,رجل مصنع العمال
220,👩‍🏭,Woman Factory Worker,امرأة مصنع العمال
221,👨‍💼,Man Office Worker,رجل مكتب العمال
222,👩‍💼,Woman Office Worker,امرأة مكتب العمال
223,👨‍🔬,Man Scientist,رجل عالم
224,👩‍🔬,Woman Scientist,امرأة عالمة
225,👨‍💻,Man Technologist,رجل تقني
226,👩‍💻,Woman Technologist,امرأة تقني
227,👨‍🎤,Man Singer,رجل سنجر
228,👩‍🎤,Woman Singer,امرأة المغني
229,👨‍🎨,Man Artist,الرجل الفنان
230,👩‍🎨,Woman Artist,امرأة الفنان
231,👨‍✈️,Man Pilot,الرجل الطيار
232,👩‍✈️,Woman Pilot,امرأة الطيار
233,👨‍🚀,Man Astronaut,رجل رائد الفضاء
234,👩‍🚀,Woman Astronaut,امرأة رائد الفضاء
235,👨‍🚒,Man Firefighter,رجل الاطفاء
236,👩‍🚒,Woman Firefighter,امرأة رجال الاطفاء
237,👮,Police Officer,ضابط شرطة
238,👮‍♂️,Man Police Officer,ضابط شرطة رجل
239,👮‍♀️,Woman Police Officer,ضابط شرطة امرأة
240,🕵,Detective,المحقق
241,🕵️‍♂️,Man Detective,رجل المباحث
242,🕵️‍♀️,Woman Detective,امرأة المخبر
243,💂,Guard,حارس
244,💂‍♂️,Man Guard,الحرس رجل
245,💂‍♀️,Woman Guard,الحرس امرأة
246,👷,Construction Worker,عامل بناء
247,👷‍♂️,Man Construction Worker,رجل عمال البناء
248,👷‍♀️,Woman Construction Worker,امرأة عمال البناء
249,🤴,Prince,أمير
250,👸,Princess,أميرة
251,👳,Person Wearing Turban,شخص يرتدي العمامة
252,👳‍♂️,Man Wearing Turban,رجل يرتدي العمامة
253,👳‍♀️,Woman Wearing Turban,امرأة العمامة يرتدي
254,👲,Man With Chinese Cap,رجل مع كاب الصيني
255,🧕,Woman With Headscarf,امرأة مع الحجاب
256,🤵,Man in Tuxedo,رجل في سهرة
257,👰,Bride With Veil,العروس مع الحجاب
258,🤰,Pregnant Woman,المرأة الحامل
259,🤱,Breast-Feeding,الرضاعة الطبيعية
260,👼,Baby Angel,الطفل الملاك
261,🎅,Santa Claus,بابا نويل
262,🤶,Mrs. Claus,السيدة كلوز
263,🦸,Superhero,خارقة
264,🦸‍♂️,Man Superhero,رجل خارقة
265,🦸‍♀️,Woman Superhero,امرأة خارقة
266,🦹,Supervillain,سوبرفيلين
267,🦹‍♂️,Man Supervillain,رجل سوبرفيلين
268,🦹‍♀️,Woman Supervillain,امرأة سوبرفيلين
269,🧙,Mage,بركه
270,🧙‍♂️,Man Mage,رجل ماجى
271,🧙‍♀️,Woman Mage,امرأة ماجى
272,🧚,Fairy,جنية
273,🧚‍♂️,Man Fairy,رجل الجنية
274,🧚‍♀️,Woman Fairy,امرأة الجنية
275,🧛,Vampire,رعب
276,🧛‍♂️,Man Vampire,رجل مصاص الدماء
277,🧛‍♀️,Woman Vampire,امرأة مصاص دماء
278,🧜,Merperson,Merperson
279,🧜‍♂️,Merman,حورية
280,🧜‍♀️,Mermaid,حورية البحر
281,🧝,Elf,قزم
282,🧝‍♂️,Man Elf,رجل العفريت
283,🧝‍♀️,Woman Elf,امرأة العفريت
284,🧞,Genie,الجني
285,🧞‍♂️,Man Genie,رجل الجني
286,🧞‍♀️,Woman Genie,امرأة الجني
287,🧟,Zombie,الاموات الاحياء
288,🧟‍♂️,Man Zombie,الرجل الكسول
289,🧟‍♀️,Woman Zombie,المرأة الكسول
290,💆,Person Getting Massage,شخص تدليك للوصول إلى
291,💆‍♂️,Man Getting Massage,رجل تدليك للوصول إلى
292,💆‍♀️,Woman Getting Massage,امرأة تدليك للوصول إلى
293,💇,Person Getting Haircut,شخص حلاقة الحصول على
294,💇‍♂️,Man Getting Haircut,رجل قص شعر للوصول إلى
295,💇‍♀️,Woman Getting Haircut,امرأة حلاقة الحصول على
296,🚶,Person Walking,شخص المشي
297,🚶‍♂️,Man Walking,الرجل المشي
298,🚶‍♀️,Woman Walking,امرأة المشي
299,🏃,Person Running,شخص الجري
300,🏃‍♂️,Man Running,رجل الجري
301,🏃‍♀️,Woman Running,امرأة الجري
302,💃,Woman Dancing,امرأة الرقص
303,🕺,Man Dancing,رجل الرقص
304,🕴,Man in Suit Levitating,رجل في الرفع البدلة
305,👯,People With Bunny Ears,الناس مع آذان الأرنب
306,👯‍♂️,Men With Bunny Ears,الرجال مع آذان الأرنب
307,👯‍♀️,Women With Bunny Ears,نساء مع آذان الأرنب
308,🧖,Person in Steamy Room,شخص في غرفة مشبع بالبخار
309,🧖‍♂️,Man in Steamy Room,رجل في غرفة مشبع بالبخار
310,🧖‍♀️,Woman in Steamy Room,امرأة في غرفة مشبع بالبخار
311,🧘,Person in Lotus Position,شخص في Lotus الوظيفة
312,👭,Women Holding Hands,المرأة يدا بيد
313,👫,Woman and Man Holding Hands,المرأة والرجل يدا بيد
314,👬,Men Holding Hands,الرجال يدا بيد
315,💏,Kiss,قبلة
316,👨‍❤️‍💋‍👨,"Kiss: Man, Man",قبلة: رجل، رجل
317,👩‍❤️‍💋‍👩,"Kiss: Woman, Woman",قبلة: امرأة، امرأة
318,💑,Couple With Heart,زوجين مع القلب
319,👨‍❤️‍👨,"Couple With Heart: Man, Man",زوجين مع القلب: رجل، رجل
320,👩‍❤️‍👩,"Couple With Heart: Woman, Woman",زوجين مع القلب: المرأة، المرأة
321,👪,Family,عائلة
322,👨‍👩‍👦,"Family: Man, Woman, Boy",الأسرة: رجل، امرأة، فتى
323,👨‍👩‍👧,"Family: Man, Woman, Girl",الأسرة: رجل، امرأة، فتاة
324,👨‍👩‍👧‍👦,"Family: Man, Woman, Girl, Boy",الأسرة: رجل، امرأة، فتاة، فتى
325,👨‍👩‍👦‍👦,"Family: Man, Woman, Boy, Boy",الأسرة: رجل، امرأة، فتى، فتى
326,👨‍👩‍👧‍👧,"Family: Man, Woman, Girl, Girl",الأسرة: رجل، امرأة، فتاة، فتاة
327,👨‍👨‍👦,"Family: Man, Man, Boy",الأسرة: الرجل، الرجل، فتى
328,👨‍👨‍👧,"Family: Man, Man, Girl",الأسرة: الرجل، الرجل، الفتاة
329,👨‍👨‍👧‍👦,"Family: Man, Man, Girl, Boy",الأسرة: الرجل، الرجل، الفتاة، بوي
330,👨‍👨‍👦‍👦,"Family: Man, Man, Boy, Boy",الأسرة: الرجل، الرجل، فتى، فتى
331,👨‍👨‍👧‍👧,"Family: Man, Man, Girl, Girl",الأسرة: الرجل، الرجل، الفتاة، فتاة
332,👩‍👩‍👦,"Family: Woman, Woman, Boy",الأسرة: امرأة، امرأة، فتى
333,👩‍👩‍👧,"Family: Woman, Woman, Girl",الأسرة: امرأة، امرأة، فتاة
334,👩‍👩‍👧‍👦,"Family: Woman, Woman, Girl, Boy",الأسرة: امرأة، امرأة، فتاة، فتى
335,👩‍👩‍👦‍👦,"Family: Woman, Woman, Boy, Boy",الأسرة: امرأة، امرأة، فتى، فتى
336,👩‍👩‍👧‍👧,"Family: Woman, Woman, Girl, Girl",الأسرة: امرأة، امرأة، فتاة، فتاة
337,👨‍👦,"Family: Man, Boy",الأسرة: رجل، فتى
338,👨‍👦‍👦,"Family: Man, Boy, Boy",الأسرة: رجل، فتى، فتى
339,👨‍👧,"Family: Man, Girl",الأسرة: رجل، فتاة
340,👨‍👧‍👦,"Family: Man, Girl, Boy",الأسرة: رجل، فتاة، فتى
341,👨‍👧‍👧,"Family: Man, Girl, Girl",الأسرة: رجل، فتاة، فتاة
342,👩‍👦,"Family: Woman, Boy",الأسرة: امرأة، فتى
343,👩‍👦‍👦,"Family: Woman, Boy, Boy",الأسرة: امرأة، فتى، فتى
344,👩‍👧,"Family: Woman, Girl",الأسرة: امرأة، فتاة
345,👩‍👧‍👦,"Family: Woman, Girl, Boy",الأسرة: امرأة، فتاة، فتى
346,👩‍👧‍👧,"Family: Woman, Girl, Girl",الأسرة: امرأة، فتاة، فتاة
347,🗣,Speaking Head,وتحدث رئيس
348,👤,Bust in Silhouette,تمثال نصفي في صورة ظلية
349,👥,Busts in Silhouette,تماثيل نصفية في صورة ظلية
350,👣,Footprints,اثار الاقدام
351,🧳,Luggage,أمتعة
352,🌂,Closed Umbrella,مغلقة مظلة
353,☂,Umbrella,مظلة
354,🧵,Thread,خيط
355,🧶,Yarn,غزل
356,👓,Glasses,نظارات
357,🕶,Sunglasses,نظارات شمسيه
358,🥽,Goggles,نظارات واقية
359,🥼,Lab Coat,معطف المختبر
360,👔,Necktie,ربطة عنق
361,👕,T-Shirt,تي شيرت
362,👖,Jeans,جينز
363,🧣,Scarf,وشاح
364,🧤,Gloves,قفازات
365,🧥,Coat,معطف
366,🧦,Socks,جوارب
367,👗,Dress,فستان
368,👘,Kimono,ثوب واسع فضفاض
369,👙,Bikini,بيكيني
370,👚,Woman’s Clothes,الملابس المرأة
371,👛,Purse,محفظة
372,👜,Handbag,حقيبة يد
373,👝,Clutch Bag,حقيبة مخلب
374,🎒,Backpack,حقيبة ظهر
375,👞,Man’s Shoe,حذاء الرجل
376,👟,Running Shoe,حذاء الجري
377,🥾,Hiking Boot,حذاء تنزه
378,🥿,Flat Shoe,الأحذية المسطحة
379,👠,High-Heeled Shoe,حذاء بكعب عال
380,👡,Woman’s Sandal,صندل المرأة
381,👢,Woman’s Boot,الحذاء المرأة
382,👑,Crown,تاج
383,👒,Woman’s Hat,هات المرأة
384,🎩,Top Hat,قبعة عالية
385,🎓,Graduation Cap,قبعة التخرج
386,🧢,Billed Cap,المفوتر كاب
387,⛑,Rescue Worker’s Helmet,خوذة إنقاذ العمال
388,💄,Lipstick,أحمر الشفاه
389,💍,Ring,حلقة
390,💼,Briefcase,حقيبة
